timestamp,scenario_id,episode_id,step_id,execution_mode,policy_id,selected_action,collision_risk,predicted_minimum_separation,time_to_closest_approach,safety_hold,reason
0.1305,1,88,1,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,50.7501,4.0000,False,"Trusted context is safe for the current task action"
0.2431,1,88,2,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,51.6058,4.0000,False,"Trusted context is safe for the current task action"
0.3445,1,88,3,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,51.0153,4.0000,False,"Trusted context is safe for the current task action"
0.4473,1,88,4,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,50.7227,4.0000,False,"Trusted context is safe for the current task action"
0.5474,1,88,5,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,50.3581,4.0000,False,"Trusted context is safe for the current task action"
0.6508,1,88,6,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,50.8347,4.0000,False,"Trusted context is safe for the current task action"
0.7538,1,88,7,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,50.2265,4.0000,False,"Trusted context is safe for the current task action"
0.8611,1,88,8,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.4610,4.0000,False,"Trusted context is safe for the current task action"
0.9638,1,88,9,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.6055,4.0000,False,"Trusted context is safe for the current task action"
1.0762,1,88,10,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.5859,4.0000,False,"Trusted context is safe for the current task action"
1.1764,1,88,11,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,47.4254,4.0000,False,"Trusted context is safe for the current task action"
1.5308,1,88,12,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,47.7423,4.0000,False,"Trusted context is safe for the current task action"
1.6464,1,88,13,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.2465,4.0000,False,"Trusted context is safe for the current task action"
1.7493,1,88,14,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,45.2523,4.0000,False,"Trusted context is safe for the current task action"
1.8519,1,88,15,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.0209,4.0000,False,"Trusted context is safe for the current task action"
1.9570,1,88,16,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.4492,4.0000,False,"Trusted context is safe for the current task action"
2.0688,1,88,17,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.3135,4.0000,True,"Trusted context is safe for the current task action"
2.1717,1,88,18,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.2600,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.2837,1,88,19,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.3039,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.3949,1,88,20,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.3334,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.5043,1,88,21,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.3804,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.6182,1,88,22,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.3993,0.0000,True,"Confirming that H1 has cleared the blind corner"
2.7296,1,88,23,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.3479,4.0000,True,"Confirming that H1 has cleared the blind corner"
2.8386,1,88,24,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.1516,4.0000,True,"Confirming that H1 has cleared the blind corner"
2.9387,1,88,25,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.8180,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.0589,1,88,26,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.4493,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.1698,1,88,27,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.0966,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.2789,1,88,28,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.3537,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.3900,1,88,29,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.9863,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.4970,1,88,30,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.6416,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.6095,1,88,31,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.1210,0.0000,True,"Predicted conflict cleared; resume the delivery route"
3.7236,1,88,32,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.9379,4.0000,True,"Predicted conflict cleared; resume the delivery route"
3.8362,1,88,33,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,51.1000,2.4614,True,"Predicted conflict cleared; resume the delivery route"
3.9470,1,88,34,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.9006,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.0599,1,88,35,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.8657,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.1749,1,88,36,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.8090,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.2852,1,88,37,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.9053,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.3997,1,88,38,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.7441,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.5097,1,88,39,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.2802,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.6235,1,88,40,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.7169,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.7381,1,88,41,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.8538,0.0000,True,"Predicted conflict cleared; resume the delivery route"
4.8445,1,88,42,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.6542,4.0000,True,"Predicted conflict cleared; resume the delivery route"
4.9515,1,88,43,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.6520,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.0580,1,88,44,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.6072,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.1702,1,88,45,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.8196,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.2811,1,88,46,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.9394,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.3874,1,88,47,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.4908,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.4910,1,88,48,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.1452,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.6230,1,88,49,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.6274,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.7448,1,88,50,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,50.6006,0.0000,True,"Predicted conflict cleared; resume the delivery route"
5.8449,1,88,51,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.3983,4.0000,True,"Predicted conflict cleared; resume the delivery route"
5.9790,1,88,52,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.3417,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.1009,1,88,53,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.2858,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.2080,1,88,54,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.2682,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.3082,1,88,55,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.2354,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.4083,1,88,56,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.5332,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.5146,1,88,57,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.5585,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.6293,1,88,58,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.1453,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.7300,1,88,59,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.6396,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.8428,1,88,60,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.0933,4.0000,True,"Predicted conflict cleared; resume the delivery route"
6.9599,1,88,61,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.0525,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.0663,1,88,62,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.4430,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.1680,1,88,63,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.1998,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.2708,1,88,64,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.4248,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.3858,1,88,65,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.2518,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.4898,1,88,66,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,48.8890,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.5903,1,88,67,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Wait,0.0000,49.0201,4.0000,True,"Predicted conflict cleared; resume the delivery route"
7.6960,1,88,68,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.8414,4.0000,False,"Predicted conflict cleared; resume the delivery route"
7.8110,1,88,69,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.9848,4.0000,False,"Trusted context is safe for the current task action"
7.9129,1,88,70,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.9958,4.0000,False,"Trusted context is safe for the current task action"
8.0137,1,88,71,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.5078,4.0000,False,"Trusted context is safe for the current task action"
8.1236,1,88,72,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.6917,4.0000,False,"Trusted context is safe for the current task action"
8.2311,1,88,73,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.2948,4.0000,False,"Trusted context is safe for the current task action"
8.3358,1,88,74,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.0660,4.0000,False,"Trusted context is safe for the current task action"
8.4418,1,88,75,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.6505,4.0000,False,"Trusted context is safe for the current task action"
8.5569,1,88,76,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.6245,4.0000,False,"Trusted context is safe for the current task action"
8.6588,1,88,77,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,49.3004,4.0000,False,"Trusted context is safe for the current task action"
8.7661,1,88,78,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.9840,4.0000,False,"Trusted context is safe for the current task action"
8.8730,1,88,79,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.7665,4.0000,False,"Trusted context is safe for the current task action"
8.9776,1,88,80,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,48.2941,4.0000,False,"Trusted context is safe for the current task action"
9.0820,1,88,81,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,47.9871,4.0000,False,"Trusted context is safe for the current task action"
9.1897,1,88,82,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,47.8415,4.0000,False,"Trusted context is safe for the current task action"
9.2959,1,88,83,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.7340,4.0000,False,"Trusted context is safe for the current task action"
9.4034,1,88,84,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,47.1777,4.0000,False,"Trusted context is safe for the current task action"
9.5064,1,88,85,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.8345,4.0000,False,"Trusted context is safe for the current task action"
9.6087,1,88,86,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.0195,4.0000,False,"Trusted context is safe for the current task action"
9.7098,1,88,87,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,46.2030,4.0000,False,"Trusted context is safe for the current task action"
9.8100,1,88,88,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,44.9294,4.0000,False,"Trusted context is safe for the current task action"
9.9261,1,88,89,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,45.5383,4.0000,False,"Trusted context is safe for the current task action"
10.0412,1,88,90,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,45.7029,4.0000,False,"Trusted context is safe for the current task action"
10.1564,1,88,91,FullATADTRL,A1_SECURE_POLICY_PILOT_V1,Forward,0.0000,45.8093,4.0000,False,"Trusted context is safe for the current task action"
